time;0;1
5.80009;(-0.830758,0.00211118);(0.830758,-0.00206353)
5.80509;(-0.829162,0.0021753);(0.829162,-0.0021277)
5.81009;(-0.827577,0.00224155);(0.827577,-0.002194)
5.81509;(-0.826003,0.00231);(0.826003,-0.0022625)
5.82009;(-0.82444,0.00238073);(0.82444,-0.00233328)
5.82509;(-0.822887,0.00245382);(0.822887,-0.00240641)
5.83009;(-0.821346,0.00252936);(0.821346,-0.002482)
5.83509;(-0.819815,0.00260743);(0.819815,-0.00256011)
5.84009;(-0.818294,0.00268812);(0.818294,-0.00264085)
5.84509;(-0.816784,0.00277152);(0.816784,-0.0027243)
5.85009;(-0.815285,0.00285774);(0.815285,-0.00281057)
5.85509;(-0.813795,0.00294688);(0.813795,-0.00289975)
5.86009;(-0.812316,0.00303903);(0.812316,-0.00299195)
5.86509;(-0.810846,0.00313431);(0.810846,-0.00308727)
5.87009;(-0.809387,0.00323283);(0.809387,-0.00318584)
5.87509;(-0.807937,0.0033347);(0.807937,-0.00328776)
5.88009;(-0.806498,0.00344006);(0.806498,-0.00339316)
5.88509;(-0.805067,0.00354902);(0.805067,-0.00350217)
5.89009;(-0.803647,0.00366172);(0.803647,-0.00361491)
5.89509;(-0.802235,0.00377829);(0.802235,-0.00373153)
5.90009;(-0.800834,0.00389888);(0.800834,-0.00385217)
5.90509;(-0.799441,0.00402363);(0.799441,-0.00397696)
5.91009;(-0.798058,0.00415269);(0.798058,-0.00410607)
5.91509;(-0.796683,0.00428623);(0.796683,-0.00423966)
5.92009;(-0.795318,0.00442441);(0.795318,-0.00437788)
5.92509;(-0.793961,0.0045674);(0.793961,-0.00452092)
5.93009;(-0.792614,0.00471538);(0.792614,-0.00466895)
5.93509;(-0.791275,0.00486854);(0.791275,-0.00482215)
5.94009;(-0.789944,0.00502706);(0.789944,-0.00498072)
5.94509;(-0.788622,0.00519116);(0.788622,-0.00514486)
5.95009;(-0.787309,0.00536103);(0.787309,-0.00531478)
5.95509;(-0.786004,0.00553691);(0.786004,-0.0054907)
5.96009;(-0.784707,0.005719);(0.784707,-0.00567284)
5.96509;(-0.783418,0.00590755);(0.783418,-0.00586144)
5.97009;(-0.782138,0.00610281);(0.782138,-0.00605674)
5.97509;(-0.780865,0.00630502);(0.780865,-0.006259)
5.98009;(-0.7796,0.00651446);(0.7796,-0.00646849)
5.98509;(-0.778343,0.0067314);(0.778343,-0.00668547)
5.99009;(-0.777093,0.00695613);(0.777093,-0.00691025)
5.99509;(-0.775852,0.00718895);(0.775852,-0.00714312)
6.00009;(-0.774617,0.00743018);(0.774617,-0.00738439)
6.00509;(-0.77339,0.00768014);(0.77339,-0.00763439)
6.01009;(-0.77217,0.00793917);(0.77217,-0.00789347)
6.01509;(-0.770958,0.00820763);(0.770958,-0.00816198)
6.02009;(-0.769752,0.00848589);(0.769752,-0.00844028)
6.02509;(-0.768553,0.00877435);(0.768553,-0.00872878)
6.03009;(-0.767361,0.0090734);(0.767361,-0.00902788)
6.03509;(-0.766176,0.00938347);(0.766176,-0.00933799)
6.04009;(-0.764997,0.009705);(0.764997,-0.00965958)
6.04509;(-0.763825,0.0100385);(0.763825,-0.00999309)
6.05009;(-0.762658,0.0103844);(0.762658,-0.010339)
6.05509;(-0.761498,0.0107432);(0.761498,-0.0106979)
6.06009;(-0.760344,0.0111155);(0.760344,-0.0110702)
6.06509;(-0.759196,0.0115018);(0.759196,-0.0114566)
6.07009;(-0.758053,0.0119027);(0.758053,-0.0118576)
6.07509;(-0.756916,0.0123189);(0.756916,-0.0122738)
6.08009;(-0.755784,0.012751);(0.755784,-0.0127059)
6.08509;(-0.754657,0.0131997);(0.754657,-0.0131547)
6.09009;(-0.753536,0.0136657);(0.753536,-0.0136207)
6.09509;(-0.752418,0.0141498);(0.752418,-0.0141049)
6.10009;(-0.751305,0.0146529);(0.751305,-0.014608)
6.10509;(-0.750197,0.0151759);(0.750197,-0.015131)
6.11009;(-0.749092,0.0157196);(0.749092,-0.0156748)
6.11509;(-0.747991,0.016285);(0.747991,-0.0162403)
6.12009;(-0.746893,0.0168734);(0.746893,-0.0168287)
6.12509;(-0.745799,0.0174859);(0.745799,-0.0174412)
6.13009;(-0.744707,0.0181238);(0.744707,-0.0180791)
6.13509;(-0.743617,0.0187885);(0.743617,-0.0187439)
6.14009;(-0.742529,0.0194816);(0.742529,-0.0194371)
6.14509;(-0.741443,0.0202051);(0.741443,-0.0201606)
6.15009;(-0.740358,0.020961);(0.740358,-0.0209166)
6.15509;(-0.739274,0.0217521);(0.739274,-0.0217077)
6.16009;(-0.738191,0.0225817);(0.738191,-0.0225374)
6.16509;(-0.737109,0.023455);(0.737109,-0.0234107)
6.17009;(-0.736032,0.0243815);(0.736032,-0.0243372)
6.17509;(-0.735022,0.0254477);(0.735022,-0.0254035)
6.18009;(-0.733929,0.0265039);(0.733929,-0.0264597)
6.18509;(-0.732754,0.02755);(0.732754,-0.0275059)
6.19009;(-0.731496,0.0285862);(0.731496,-0.0285421)
6.19509;(-0.730293,0.0297162);(0.730293,-0.0296722)
6.20009;(-0.729008,0.0308356);(0.729008,-0.0307916)
6.20509;(-0.727643,0.0319442);(0.727643,-0.0319003)
6.21009;(-0.72636,0.0331615);(0.72636,-0.0331176)
6.21509;(-0.724998,0.0343673);(0.724998,-0.0343234)
6.22009;(-0.723555,0.0355616);(0.723555,-0.0355178)
6.22509;(-0.722234,0.036903);(0.722234,-0.0368592)
6.23009;(-0.720833,0.0382317);(0.720833,-0.038188)
6.2351;(-0.719352,0.0395477);(0.719352,-0.039504)
6.2401;(-0.717792,0.0408512);(0.717792,-0.0408076)
6.2451;(-0.71642,0.0423623);(0.71642,-0.0423187)
6.2501;(-0.714968,0.043859);(0.714968,-0.0438155)
6.2551;(-0.713437,0.0453415);(0.713437,-0.045298)
6.2601;(-0.711828,0.0468099);(0.711828,-0.0467664)
6.2651;(-0.71014,0.0482642);(0.71014,-0.0482208)
6.2701;(-0.708376,0.0497047);(0.708376,-0.0496613)
6.2751;(-0.706888,0.0514013);(0.706888,-0.0513579)
6.2801;(-0.705322,0.0530817);(0.705322,-0.0530384)
6.2851;(-0.703677,0.0547461);(0.703677,-0.0547028)
6.2901;(-0.701955,0.0563946);(0.701955,-0.0563514)
6.2951;(-0.700156,0.0580273);(0.700156,-0.0579842)
