time;0;1;2;3;4;5;6;7;8;9
1.75;(8.21464,0.00136616);(6.8121,4.94928);(2.53033,7.78189);(-2.54611,7.83057);(-6.50077,4.72119);(-8.33779,5.02764e-07);(-6.45458,-4.68953);(-2.55086,-7.85079);(2.47686,-7.63117);(6.55268,-4.76079)
1.8;(8.14701,0.00148547);(6.76357,4.91403);(2.50918,7.71626);(-2.52559,7.76684);(-6.44039,4.67719);(-8.27469,1.33527e-06);(-6.39248,-4.64441);(-2.53037,-7.78778);(2.45339,-7.55985);(6.49435,-4.71836)
1.85;(8.07921,0.00160889);(6.7149,4.87868);(2.48798,7.65045);(-2.50502,7.70292);(-6.37986,4.63309);(-8.21141,2.37535e-06);(-6.33022,-4.59918);(-2.50983,-7.7246);(2.42984,-7.48833);(6.43586,-4.67581)
1.9;(8.01127,0.00173671);(6.66612,4.84324);(2.46674,7.58448);(-2.48439,7.63881);(-6.31918,4.58888);(-8.14798,3.62166e-06);(-6.2678,-4.55382);(-2.48923,-7.66127);(2.40621,-7.41663);(6.37722,-4.63314)
1.95;(7.94319,0.00186918);(6.61723,4.80772);(2.44545,7.51835);(-2.46373,7.57453);(-6.25837,4.54459);(-8.08441,5.07234e-06);(-6.20523,-4.50837);(-2.46858,-7.5978);(2.3825,-7.34478);(6.31845,-4.59037)
2;(7.87499,0.00200654);(6.56824,4.77214);(2.42414,7.4521);(-2.44303,7.51011);(-6.19744,4.50022);(-8.02071,6.7249e-06);(-6.14254,-4.46282);(-2.44789,-7.5342);(2.35872,-7.27277);(6.25957,-4.54751)
2.05;(7.80669,0.00214904);(6.51916,4.73649);(2.40279,7.38573);(-2.4223,7.44554);(-6.1364,4.45577);(-7.9569,8.57632e-06);(-6.07973,-4.41719);(-2.42715,-7.47049);(2.33487,-7.20064);(6.20059,-4.50456)
2.1;(7.73829,0.00229692);(6.47,4.70079);(2.38142,7.31925);(-2.40154,7.38085);(-6.07527,4.41126);(-7.89298,1.06231e-05);(-6.01682,-4.37148);(-2.40638,-7.40668);(2.31096,-7.12839);(6.14151,-4.46154)
2.15;(7.66982,0.00245038);(6.42077,4.66504);(2.36004,7.25267);(-2.38076,7.31605);(-6.01405,4.36669);(-7.82898,1.28611e-05);(-5.95382,-4.3257);(-2.38558,-7.34277);(2.28699,-7.05603);(6.08235,-4.41844)
2.2;(7.60129,0.00260963);(6.37148,4.62925);(2.33863,7.186);(-2.35996,7.25114);(-5.95276,4.32207);(-7.76489,1.52854e-05);(-5.89073,-4.27987);(-2.36475,-7.27879);(2.26296,-6.98358);(6.02311,-4.37528)
