time;0;1;2;3;4;5;6;7;8;9
0.19;(9.95702,2.80134e-09);(8.05943,5.85552);(3.07666,9.469);(-3.07702,9.47009);(-8.05197,5.8501);(-9.96002,-8.70733e-07);(-8.05083,-5.84927);(-3.0772,-9.47065);(3.07548,-9.46535);(8.05318,-5.85097)
0.195;(9.95489,3.61677e-09);(8.05791,5.85441);(3.07599,9.46694);(-3.07637,9.46808);(-8.05008,5.84872);(-9.95804,-8.7056e-07);(-8.04888,-5.84785);(-3.07655,-9.46867);(3.07475,-9.46311);(8.05134,-5.84964)
0.2;(9.95271,4.62144e-09);(8.05635,5.85328);(3.07531,9.46483);(-3.0757,9.46603);(-8.04814,5.84732);(-9.95602,-8.70383e-07);(-8.04689,-5.84641);(-3.0759,-9.46665);(3.07401,-9.46082);(8.04947,-5.84828)
0.205;(9.95049,5.84837e-09);(8.05477,5.85213);(3.07461,9.46269);(-3.07502,9.46394);(-8.04617,5.84588);(-9.95395,-8.70202e-07);(-8.04486,-5.84493);(-3.07523,-9.46459);(3.07325,-9.45848);(8.04756,-5.84689)
0.21;(9.94823,7.3344e-09);(8.05315,5.85095);(3.0739,9.4605);(-3.07433,9.46181);(-8.04416,5.84442);(-9.95185,-8.70018e-07);(-8.04279,-5.84343);(-3.07454,-9.46248);(3.07247,-9.4561);(8.04561,-5.84548)
0.215;(9.94592,9.12047e-09);(8.0515,5.84975);(3.07318,9.45826);(-3.07362,9.45964);(-8.04211,5.84293);(-9.9497,-8.69831e-07);(-8.04067,-5.84189);(-3.07385,-9.46034);(3.07169,-9.45367);(8.04362,-5.84403)
0.22;(9.94357,1.12517e-08);(8.04981,5.84853);(3.07244,9.45599);(-3.0729,9.45742);(-8.04002,5.84141);(-9.94751,-8.69639e-07);(-8.03852,-5.84033);(-3.07314,-9.45815);(3.07088,-9.4512);(8.0416,-5.84256)
0.225;(9.94118,1.37777e-08);(8.0481,5.84729);(3.07168,9.45367);(-3.07217,9.45517);(-8.03789,5.83987);(-9.94529,-8.69445e-07);(-8.03633,-5.83873);(-3.07241,-9.45593);(3.07006,-9.44868);(8.03954,-5.84107)
0.23;(9.93874,1.67527e-08);(8.04636,5.84602);(3.07092,9.45132);(-3.07143,9.45287);(-8.03572,5.83829);(-9.94302,-8.69246e-07);(-8.0341,-5.83711);(-3.07168,-9.45367);(3.06923,-9.44611);(8.03744,-5.83954)
0.235;(9.93626,2.02355e-08);(8.04459,5.84473);(3.07014,9.44892);(-3.07067,9.45054);(-8.03352,5.83669);(-9.94071,-8.69045e-07);(-8.03183,-5.83546);(-3.07093,-9.45136);(3.06838,-9.44351);(8.03531,-5.83799)
0.24;(9.93374,2.42901e-08);(8.04278,5.84342);(3.06935,9.44648);(-3.0699,9.44816);(-8.03128,5.83506);(-9.93837,-8.6884e-07);(-8.02952,-5.83379);(-3.07017,-9.44902);(3.06752,-9.44085);(8.03313,-5.83641)
0.245;(9.93117,2.89853e-08);(8.04095,5.84209);(3.06854,9.444);(-3.06911,9.44575);(-8.029,5.83341);(-9.93599,-8.68631e-07);(-8.02718,-5.83208);(-3.0694,-9.44664);(3.06664,-9.43816);(8.03093,-5.83481)
0.25;(9.92857,3.43954e-08);(8.03909,5.84074);(3.06772,9.44148);(-3.06831,9.44329);(-8.02668,5.83173);(-9.93356,-8.6842e-07);(-8.02479,-5.83035);(-3.06861,-9.44422);(3.06575,-9.43542);(8.02869,-5.83318)
0.255;(9.92593,4.05997e-08);(8.0372,5.83936);(3.06689,9.43892);(-3.0675,9.4408);(-8.02433,5.83002);(-9.9311,-8.68205e-07);(-8.02237,-5.82859);(-3.06781,-9.44177);(3.06485,-9.43263);(8.02641,-5.83153)
0.26;(9.92324,4.7683e-08);(8.03528,5.83797);(3.06605,9.43633);(-3.06668,9.43827);(-8.02195,5.82828);(-9.92861,-8.67986e-07);(-8.01991,-5.82681);(-3.067,-9.43927);(3.06393,-9.42981);(8.0241,-5.82985)
0.265;(9.92052,5.57358e-08);(8.03333,5.83655);(3.06519,9.43369);(-3.06585,9.43571);(-8.01952,5.82653);(-9.92607,-8.67765e-07);(-8.01742,-5.825);(-3.06618,-9.43674);(3.063,-9.42694);(8.02175,-5.82814)
0.27;(9.91775,6.48539e-08);(8.03135,5.83512);(3.06432,9.43102);(-3.065,9.4331);(-8.01707,5.82474);(-9.9235,-8.6754e-07);(-8.01489,-5.82316);(-3.06535,-9.43417);(3.06206,-9.42403);(8.01937,-5.82642)
0.275;(9.91495,7.51391e-08);(8.02934,5.83366);(3.06344,9.42831);(-3.06415,9.43046);(-8.01458,5.82293);(-9.92089,-8.67312e-07);(-8.01232,-5.82129);(-3.0645,-9.43157);(3.0611,-9.42108);(8.01696,-5.82466)
0.28;(9.9121,8.66985e-08);(8.02731,5.83218);(3.06255,9.42556);(-3.06328,9.42779);(-8.01205,5.82109);(-9.91825,-8.67081e-07);(-8.00972,-5.8194);(-3.06364,-9.42893);(3.06013,-9.41809);(8.01451,-5.82288)
0.285;(9.90922,9.96453e-08);(8.02525,5.83069);(3.06164,9.42277);(-3.06239,9.42507);(-8.00949,5.81923);(-9.91557,-8.66846e-07);(-8.00709,-5.81749);(-3.06277,-9.42625);(3.05914,-9.41506);(8.01203,-5.82108)
0.29;(9.9063,1.14099e-07);(8.02316,5.82917);(3.06073,9.41995);(-3.0615,9.42232);(-8.00689,5.81735);(-9.91285,-8.66609e-07);(-8.00441,-5.81555);(-3.06189,-9.42354);(3.05814,-9.41199);(8.00952,-5.81926)
0.295;(9.90335,1.30183e-07);(8.02105,5.82763);(3.0598,9.41709);(-3.0606,9.41954);(-8.00426,5.81544);(-9.9101,-8.66369e-07);(-8.00171,-5.81358);(-3.061,-9.4208);(3.05713,-9.40888);(8.00698,-5.81741)
0.3;(9.90035,1.48029e-07);(8.01891,5.82608);(3.05886,9.41419);(-3.05968,9.41672);(-8.0016,5.8135);(-9.90732,-8.66125e-07);(-7.99897,-5.81159);(-3.0601,-9.41801);(3.05611,-9.40573);(8.0044,-5.81554)
0.305;(9.89732,1.67774e-07);(8.01674,5.8245);(3.0579,9.41126);(-3.05875,9.41386);(-7.99891,5.81155);(-9.9045,-8.65879e-07);(-7.99619,-5.80957);(-3.05918,-9.4152);(3.05507,-9.40254);(8.00179,-5.81364)
0.31;(9.89425,1.89559e-07);(8.01454,5.82291);(3.05694,9.40829);(-3.05781,9.41097);(-7.99618,5.80957);(-9.90164,-8.65629e-07);(-7.99338,-5.80753);(-3.05825,-9.41235);(3.05402,-9.39931);(7.99915,-5.81172)
0.315;(9.89115,2.13533e-07);(8.01232,5.82129);(3.05596,9.40529);(-3.05686,9.40805);(-7.99342,5.80756);(-9.89876,-8.65377e-07);(-7.99054,-5.80547);(-3.05732,-9.40946);(3.05296,-9.39604);(7.99647,-5.80978)
0.32;(9.888,2.3985e-07);(8.01008,5.81966);(3.05498,9.40225);(-3.0559,9.40509);(-7.99063,5.80553);(-9.89583,-8.65121e-07);(-7.98767,-5.80338);(-3.05637,-9.40655);(3.05189,-9.39274);(7.99377,-5.80781)
0.325;(9.88483,2.68671e-07);(8.00781,5.81801);(3.05398,9.39918);(-3.05493,9.4021);(-7.98781,5.80348);(-9.89288,-8.64863e-07);(-7.98476,-5.80127);(-3.05541,-9.4036);(3.0508,-9.3894);(7.99104,-5.80583)
0.33;(9.88162,3.00161e-07);(8.00551,5.81634);(3.05297,9.39607);(-3.05395,9.39908);(-7.98495,5.80141);(-9.88989,-8.64602e-07);(-7.98182,-5.79913);(-3.05444,-9.40061);(3.0497,-9.38602);(7.98827,-5.80382)
0.335;(9.87837,3.34491e-07);(8.00319,5.81466);(3.05195,9.39293);(-3.05295,9.39602);(-7.98207,5.79931);(-9.88687,-8.64338e-07);(-7.97885,-5.79697);(-3.05346,-9.3976);(3.04859,-9.3826);(7.98548,-5.80179)
0.34;(9.87509,3.71839e-07);(8.00084,5.81295);(3.05092,9.38976);(-3.05195,9.39293);(-7.97915,5.79719);(-9.88382,-8.64071e-07);(-7.97584,-5.79479);(-3.05247,-9.39455);(3.04747,-9.37915);(7.98265,-5.79974)
0.345;(9.87177,4.12388e-07);(7.99847,5.81123);(3.04988,9.38655);(-3.05093,9.3898);(-7.9762,5.79505);(-9.88073,-8.63801e-07);(-7.97281,-5.79258);(-3.05147,-9.39147);(3.04634,-9.37566);(7.9798,-5.79766)
0.35;(9.86842,4.56327e-07);(7.99607,5.80949);(3.04882,9.38331);(-3.04991,9.38665);(-7.97322,5.79288);(-9.87762,-8.63529e-07);(-7.96974,-5.79036);(-3.05046,-9.38836);(3.04519,-9.37213);(7.97691,-5.79557)
0.355;(9.86504,5.0385e-07);(7.99365,5.80773);(3.04776,9.38004);(-3.04887,9.38346);(-7.97022,5.7907);(-9.87447,-8.63254e-07);(-7.96664,-5.78811);(-3.04944,-9.38521);(3.04403,-9.36857);(7.974,-5.79345)
0.36;(9.86162,5.55156e-07);(7.99121,5.80595);(3.04669,9.37673);(-3.04783,9.38024);(-7.96718,5.78849);(-9.87129,-8.62976e-07);(-7.96352,-5.78583);(-3.04841,-9.38204);(3.04287,-9.36498);(7.97106,-5.79131)
0.365;(9.85817,6.10451e-07);(7.98874,5.80416);(3.0456,9.37339);(-3.04677,9.37699);(-7.96411,5.78626);(-9.86808,-8.62695e-07);(-7.96036,-5.78354);(-3.04736,-9.37883);(3.04169,-9.36135);(7.96809,-5.78916)
